:START_ID(Order),:END_ID(Shipper),:TYPE
96,2,SHIPPED_VIA
94,6,SHIPPED_VIA
92,4,SHIPPED_VIA
91,10,SHIPPED_VIA
90,6,SHIPPED_VIA
87,2,SHIPPED_VIA
83,9,SHIPPED_VIA
82,8,SHIPPED_VIA
80,6,SHIPPED_VIA
77,9,SHIPPED_VIA
74,3,SHIPPED_VIA
71,10,SHIPPED_VIA
69,8,SHIPPED_VIA
68,10,SHIPPED_VIA
67,3,SHIPPED_VIA
62,5,SHIPPED_VIA
52,7,SHIPPED_VIA
48,1,SHIPPED_VIA
46,2,SHIPPED_VIA
45,6,SHIPPED_VIA
44,5,SHIPPED_VIA
43,7,SHIPPED_VIA
40,9,SHIPPED_VIA
39,6,SHIPPED_VIA
38,2,SHIPPED_VIA
37,9,SHIPPED_VIA
35,7,SHIPPED_VIA
34,5,SHIPPED_VIA
31,10,SHIPPED_VIA
30,2,SHIPPED_VIA
27,6,SHIPPED_VIA
23,3,SHIPPED_VIA
22,3,SHIPPED_VIA
21,5,SHIPPED_VIA
17,5,SHIPPED_VIA
16,8,SHIPPED_VIA
13,9,SHIPPED_VIA
12,6,SHIPPED_VIA
11,8,SHIPPED_VIA
9,4,SHIPPED_VIA
7,8,SHIPPED_VIA
1,1,SHIPPED_VIA
98,10,SHIPPED_VIA
89,7,SHIPPED_VIA
88,4,SHIPPED_VIA
86,4,SHIPPED_VIA
84,2,SHIPPED_VIA
78,2,SHIPPED_VIA
76,7,SHIPPED_VIA
75,8,SHIPPED_VIA
72,1,SHIPPED_VIA
66,1,SHIPPED_VIA
65,4,SHIPPED_VIA
63,9,SHIPPED_VIA
61,5,SHIPPED_VIA
60,4,SHIPPED_VIA
50,7,SHIPPED_VIA
42,5,SHIPPED_VIA
36,4,SHIPPED_VIA
33,8,SHIPPED_VIA
29,9,SHIPPED_VIA
28,3,SHIPPED_VIA
26,8,SHIPPED_VIA
20,7,SHIPPED_VIA
14,6,SHIPPED_VIA
10,6,SHIPPED_VIA
8,7,SHIPPED_VIA
6,4,SHIPPED_VIA
5,3,SHIPPED_VIA
4,6,SHIPPED_VIA
3,6,SHIPPED_VIA
100,7,SHIPPED_VIA
99,3,SHIPPED_VIA
97,3,SHIPPED_VIA
95,2,SHIPPED_VIA
93,10,SHIPPED_VIA
85,10,SHIPPED_VIA
81,3,SHIPPED_VIA
79,8,SHIPPED_VIA
73,5,SHIPPED_VIA
70,3,SHIPPED_VIA
64,2,SHIPPED_VIA
59,5,SHIPPED_VIA
58,6,SHIPPED_VIA
57,4,SHIPPED_VIA
56,5,SHIPPED_VIA
55,3,SHIPPED_VIA
54,9,SHIPPED_VIA
53,2,SHIPPED_VIA
51,2,SHIPPED_VIA
49,5,SHIPPED_VIA
47,6,SHIPPED_VIA
41,2,SHIPPED_VIA
32,9,SHIPPED_VIA
25,9,SHIPPED_VIA
24,6,SHIPPED_VIA
19,4,SHIPPED_VIA
18,9,SHIPPED_VIA
15,8,SHIPPED_VIA
2,5,SHIPPED_VIA
